iter	Passed	Remaining
0	4	4705
1	9	4614
2	14	4960
3	19	4889
4	24	4778
5	28	4696
6	32	4635
7	36	4586
8	41	4537
9	45	4516
10	49	4467
11	54	4453
12	58	4425
13	62	4419
14	66	4393
15	71	4374
16	75	4345
17	79	4331
18	83	4298
19	87	4284
20	91	4262
21	95	4263
22	100	4251
23	104	4238
24	108	4233
25	112	4227
26	116	4212
27	121	4208
28	125	4215
29	129	4203
30	134	4198
31	138	4182
32	143	4216
33	150	4271
34	154	4265
35	159	4267
36	163	4266
37	168	4258
38	172	4246
39	176	4246
40	181	4246
41	185	4239
42	190	4229
43	194	4233
44	199	4223
45	203	4217
46	207	4217
47	212	4205
48	216	4195
49	220	4183
50	224	4177
51	228	4172
52	233	4170
53	237	4164
54	242	4164
55	246	4158
56	251	4159
57	255	4147
58	260	4151
59	265	4158
60	270	4159
61	275	4161
62	279	4161
63	284	4159
64	289	4157
65	294	4162
66	299	4167
67	304	4169
68	309	4173
69	314	4175
70	319	4174
71	324	4176
72	328	4176
73	334	4184
74	340	4194
75	345	4199
76	351	4212
77	357	4223
78	363	4232
79	368	4240
80	373	4242
81	379	4244
82	384	4247
83	389	4251
84	395	4254
85	401	4263
86	406	4267
87	412	4273
88	417	4272
89	422	4276
90	428	4277
91	433	4280
92	438	4279
93	444	4282
94	450	4291
95	456	4294
96	461	4297
97	466	4297
98	472	4297
99	477	4296
100	482	4298
101	488	4297
102	493	4297
103	498	4298
104	504	4297
105	509	4296
106	515	4298
107	520	4295
108	525	4294
109	530	4294
110	535	4292
111	541	4290
112	546	4286
113	550	4281
114	555	4276
115	560	4271
116	565	4264
117	569	4258
118	574	4252
119	579	4247
120	583	4241
121	588	4235
122	593	4232
123	598	4225
124	602	4220
125	607	4213
126	612	4209
127	616	4202
128	622	4200
129	626	4193
130	631	4187
131	636	4183
132	640	4176
133	645	4171
134	649	4163
135	654	4160
136	659	4154
137	664	4147
138	669	4144
139	673	4139
140	678	4134
141	683	4128
142	688	4123
143	692	4117
144	697	4111
145	702	4107
146	706	4102
147	711	4098
148	717	4095
149	722	4092
150	727	4090
151	732	4085
152	736	4079
153	742	4077
154	747	4075
155	752	4071
156	757	4066
157	762	4063
158	767	4058
159	772	4053
160	776	4047
161	781	4042
162	786	4037
163	790	4031
164	795	4026
165	800	4021
166	804	4015
167	810	4011
168	814	4006
169	819	4000
170	824	3995
171	828	3989
172	833	3984
173	838	3978
174	843	3974
175	848	3971
176	853	3966
177	857	3961
178	862	3955
179	866	3949
180	871	3944
181	876	3938
182	880	3933
183	885	3927
184	890	3921
185	894	3916
186	899	3912
187	904	3906
188	909	3900
189	913	3895
190	918	3890
191	923	3886
192	927	3880
193	932	3874
194	937	3870
195	942	3866
196	948	3864
197	953	3861
198	958	3857
199	963	3852
200	968	3849
201	973	3847
202	979	3845
203	984	3842
204	989	3838
205	994	3832
206	1000	3831
207	1005	3827
208	1010	3822
209	1014	3816
210	1019	3810
211	1024	3806
212	1028	3800
213	1033	3794
214	1037	3789
215	1042	3783
216	1047	3778
217	1051	3772
218	1056	3766
219	1060	3761
220	1065	3757
221	1070	3751
222	1075	3747
223	1080	3741
224	1084	3735
225	1089	3730
226	1093	3723
227	1098	3719
228	1102	3712
229	1107	3707
230	1112	3702
231	1117	3697
232	1121	3692
233	1126	3686
234	1131	3682
235	1136	3678
236	1141	3674
237	1146	3672
238	1152	3668
239	1157	3664
240	1163	3664
241	1171	3669
242	1178	3671
243	1188	3681
244	1196	3687
245	1220	3739
246	1229	3749
247	1237	3753
248	1247	3763
249	1256	3768
250	1279	3817
251	1286	3819
252	1293	3818
253	1300	3820
254	1309	3826
255	1318	3832
256	1327	3838
257	1335	3840
258	1341	3838
259	1348	3837
260	1354	3835
261	1361	3833
262	1367	3832
263	1374	3830
264	1380	3828
265	1386	3826
266	1392	3823
267	1398	3818
268	1403	3814
269	1409	3809
270	1454	3913
271	1496	4004
272	1503	4003
273	1516	4017
274	1522	4014
275	1529	4012
276	1537	4012
277	1545	4013
278	1552	4011
279	1559	4010
280	1566	4007
281	1572	4003
282	1578	3999
283	1584	3994
284	1591	3991
285	1597	3988
286	1603	3983
287	1609	3979
288	1616	3975
289	1622	3972
290	1627	3965
291	1632	3959
292	1638	3953
293	1643	3946
294	1648	3939
295	1653	3932
296	1659	3927
297	1664	3921
298	1670	3915
299	1675	3910
300	1681	3904
301	1686	3898
302	1691	3892
303	1697	3885
304	1702	3880
305	1708	3874
306	1714	3869
307	1719	3862
308	1724	3856
309	1729	3849
310	1734	3842
311	1738	3834
312	1743	3826
313	1748	3819
314	1752	3811
315	1757	3803
316	1762	3796
317	1766	3789
318	1771	3782
319	1776	3775
320	1781	3768
321	1785	3760
322	1790	3753
323	1795	3745
324	1800	3738
325	1805	3732
326	1810	3725
327	1814	3718
328	1819	3710
329	1824	3703
330	1828	3696
331	1833	3688
332	1838	3681
333	1842	3674
334	1847	3667
335	1852	3660
336	1856	3653
337	1861	3646
338	1866	3638
339	1871	3632
340	1876	3626
341	1881	3619
342	1886	3612
343	1890	3605
344	1895	3598
345	1900	3591
346	1905	3585
347	1909	3578
348	1913	3570
349	1918	3562
350	1922	3554
351	1927	3548
352	1932	3541
353	1936	3533
354	1941	3527
355	1945	3519
356	1950	3512
357	1954	3504
358	1958	3496
359	1963	3489
360	1967	3482
361	1971	3474
362	1976	3467
363	1980	3461
364	1986	3455
365	1990	3447
366	1994	3439
367	1998	3431
368	2003	3425
369	2007	3418
370	2012	3411
371	2016	3405
372	2021	3398
373	2026	3391
374	2030	3384
375	2034	3376
376	2038	3368
377	2043	3361
378	2047	3355
379	2052	3348
380	2057	3341
381	2061	3335
382	2066	3328
383	2070	3321
384	2075	3314
385	2079	3308
386	2084	3301
387	2088	3294
388	2092	3287
389	2096	3279
390	2101	3272
391	2105	3266
392	2110	3259
393	2115	3253
394	2119	3246
395	2125	3241
396	2129	3234
397	2134	3228
398	2138	3221
399	2143	3215
400	2148	3209
401	2153	3203
402	2158	3196
403	2163	3191
404	2168	3185
405	2173	3179
406	2177	3173
407	2182	3167
408	2187	3160
409	2191	3154
410	2196	3147
411	2201	3141
412	2206	3136
413	2211	3129
414	2216	3124
415	2220	3117
416	2225	3111
417	2230	3105
418	2234	3098
419	2238	3091
420	2242	3084
421	2247	3078
422	2252	3072
423	2256	3066
424	2261	3059
425	2266	3054
426	2271	3048
427	2276	3042
428	2281	3036
429	2285	3029
430	2289	3022
431	2293	3015
432	2298	3009
433	2303	3003
434	2308	2998
435	2313	2992
436	2318	2986
437	2322	2980
438	2327	2974
439	2332	2968
440	2337	2962
441	2341	2956
442	2346	2950
443	2350	2944
444	2355	2938
445	2360	2932
446	2365	2926
447	2369	2919
448	2373	2912
449	2378	2906
450	2382	2900
451	2387	2894
452	2392	2888
453	2397	2883
454	2402	2877
455	2406	2871
456	2411	2864
457	2415	2858
458	2419	2852
459	2424	2845
460	2428	2839
461	2432	2833
462	2437	2826
463	2442	2821
464	2446	2815
465	2451	2808
466	2456	2803
467	2460	2796
468	2465	2791
469	2469	2785
470	2474	2779
471	2479	2773
472	2484	2768
473	2489	2762
474	2493	2756
475	2499	2751
476	2504	2745
477	2508	2739
478	2514	2734
479	2519	2729
480	2524	2723
481	2529	2717
482	2533	2712
483	2538	2706
484	2543	2700
485	2548	2695
486	2553	2689
487	2557	2683
488	2562	2678
489	2567	2672
490	2571	2666
491	2576	2660
492	2581	2654
493	2586	2649
494	2591	2643
495	2595	2637
496	2600	2631
497	2604	2625
498	2609	2619
499	2614	2614
500	2619	2608
501	2624	2603
502	2629	2597
503	2634	2592
504	2638	2586
505	2643	2580
506	2648	2575
507	2653	2569
508	2657	2563
509	2662	2557
510	2666	2552
511	2671	2546
512	2677	2541
513	2681	2535
514	2686	2530
515	2691	2524
516	2696	2518
517	2700	2513
518	2705	2507
519	2710	2501
520	2714	2495
521	2719	2490
522	2723	2484
523	2728	2478
524	2732	2472
525	2737	2466
526	2742	2461
527	2746	2455
528	2751	2449
529	2756	2444
530	2760	2438
531	2765	2433
532	2770	2427
533	2775	2421
534	2779	2416
535	2784	2410
536	2788	2404
537	2793	2399
538	2798	2393
539	2803	2388
540	2809	2383
541	2814	2378
542	2819	2372
543	2823	2366
544	2828	2361
545	2833	2355
546	2837	2350
547	2842	2344
548	2847	2338
549	2851	2333
550	2856	2327
551	2861	2322
552	2866	2316
553	2870	2311
554	2875	2305
555	2880	2299
556	2884	2294
557	2889	2288
558	2894	2283
559	2899	2278
560	2904	2272
561	2909	2267
562	2913	2261
563	2918	2256
564	2923	2250
565	2927	2244
566	2932	2239
567	2936	2233
568	2940	2227
569	2945	2221
570	2949	2216
571	2954	2210
572	2958	2204
573	2963	2199
574	2968	2193
575	2972	2188
576	2976	2182
577	2981	2176
578	2985	2171
579	2990	2165
580	2995	2160
581	2999	2154
582	3004	2149
583	3009	2143
584	3013	2137
585	3018	2132
586	3022	2126
587	3026	2120
588	3031	2115
589	3036	2109
590	3040	2103
591	3045	2098
592	3049	2092
593	3053	2087
594	3057	2081
595	3062	2076
596	3067	2070
597	3072	2065
598	3077	2059
599	3081	2054
600	3085	2048
601	3090	2043
602	3094	2037
603	3099	2032
604	3103	2026
605	3107	2020
606	3111	2014
607	3116	2009
608	3120	2003
609	3125	1998
610	3129	1992
611	3133	1986
612	3137	1980
613	3142	1975
614	3146	1969
615	3151	1964
616	3155	1959
617	3160	1953
618	3164	1947
619	3168	1942
620	3173	1936
621	3178	1931
622	3182	1926
623	3187	1920
624	3192	1915
625	3196	1909
626	3200	1903
627	3204	1898
628	3209	1893
629	3214	1887
630	3218	1882
631	3223	1877
632	3228	1871
633	3233	1866
634	3237	1861
635	3242	1855
636	3245	1849
637	3250	1844
638	3254	1838
639	3259	1833
640	3263	1827
641	3268	1822
642	3272	1816
643	3277	1811
644	3281	1806
645	3286	1800
646	3290	1795
647	3294	1789
648	3299	1784
